Video_ID,Channel_ID,Channel_Name,Video_Title,YouTube_URL,Transcript_Path,Year,DurationSeconds,Transcript_Provider,Family_Count,Family_List,Tool_Total_Mentions,Tool_List,Tactic_Total_Mentions,Dominant_Tactic,Platform_Signal,Tactic_Initial_Access,Tactic_Execution,Tactic_Persistence,Tactic_Privilege_Escalation,Tactic_Credential_Access,Tactic_Lateral_Movement,Tactic_Discovery,Tactic_Command_and_Control,Tactic_Exfiltration,Tactic_Impact,Tool_Cobalt_Strike,Tool_Mimikatz,Tool_PsExec,Tool_Rclone,Tool_MegaNZ,Tool_AnyDesk,Tool_TeamViewer,Tool_BloodHound,Platform_Windows,Platform_Linux,Platform_ESXi
V0011,C02,SANS Digital Forensics and Incident Response,Stay Ahead of Ransomware - The AI Arms Race: When Both Sides Have Copilots,https://www.youtube.com/watch?v=1Cr9cUdsGnM,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0011.txt,2026,3616,local_asr_whisper,1,LockBit,2,"Cobalt_Strike, BloodHound",39,Discovery,Windows,3,8,0,4,1,1,9,4,2,7,1,0,0,0,0,0,0,1,2,0,0
V0012,C02,SANS Digital Forensics and Incident Response,AI-Powered Ransomware: How Threat Actors Weaponize AI Across the Attack Lifecycle,https://www.youtube.com/watch?v=g2fxSyoohZo,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0012.txt,2026,3575,local_asr_whisper,4,"Akira, Cactus, Maze, Play",0,,40,Initial_Access,Linux,17,0,0,0,2,1,2,0,7,11,0,0,0,0,0,0,0,0,1,2,0
V0013,C02,SANS Digital Forensics and Incident Response,Extracting the unseen: Real-world RAM acquisition and analysis from Android devices,https://www.youtube.com/watch?v=p0CpWxfQAjI,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0013.txt,2025,1879,local_asr_whisper,0,,0,,2,Impact,Windows,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
V0014,C02,SANS Digital Forensics and Incident Response,"Digital forensics and security: Automate audits, investigations and response with AWX and Ansible",https://www.youtube.com/watch?v=AG4HPlgotco,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0014.txt,2025,1897,local_asr_whisper,0,,0,,7,Execution,Linux,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,8,8
V0015,C02,SANS Digital Forensics and Incident Response,Tool: Forensic WACE - A multi-threaded tool for  forensic analysis of What’s App chats,https://www.youtube.com/watch?v=1ozfZ0CEZbo,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0015.txt,2025,853,local_asr_whisper,1,Play,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0016,C02,SANS Digital Forensics and Incident Response,When the threat group doesn’t leave: Incident response under fire,https://www.youtube.com/watch?v=p3SEEdV425I,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0016.txt,2025,1789,local_asr_whisper,0,,0,,7,Command_and_Control,Windows,1,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0
V0017,C02,SANS Digital Forensics and Incident Response,Mobile device hardening: A forensic comparison of advanced protection programmes in IOS and Android,https://www.youtube.com/watch?v=a-_di0nfOL8,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0017.txt,2025,1681,local_asr_whisper,1,Play,0,,25,Impact,,7,1,0,1,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0
V0018,C02,SANS Digital Forensics and Incident Response,Tool: Location log analysis of Google Maps IOS,https://www.youtube.com/watch?v=8GE-fIw7sb8,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0018.txt,2025,854,local_asr_whisper,0,,0,,1,Impact,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
V0019,C02,SANS Digital Forensics and Incident Response,PDF forensics and authenticity detection,https://www.youtube.com/watch?v=ELcsKcR_seo,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0019.txt,2025,1730,local_asr_whisper,0,,0,,2,Impact,Windows,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0
V0020,C02,SANS Digital Forensics and Incident Response,MacOS telemetry vs EDR telemetry - Which is better?,https://www.youtube.com/watch?v=V6VnQ-h4K-o,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0020.txt,2025,1845,local_asr_whisper,2,"Play, Qilin",3,"AnyDesk, TeamViewer",7,Persistence,Windows,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,6,1,0
V0021,C03,Black Hat,Black Hat USA 2025 | Enhancing Command Line Classification with Benign Anomalous Data,https://www.youtube.com/watch?v=om5x9aFrnLE,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C03_Black_Hat/V0021.txt,2026,2178,local_asr_whisper,0,,0,,6,Persistence,,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0022,C03,Black Hat,Black Hat USA 2025 | FACADE: High-Precision Insider Threat Detection Using Contrastive Learning,https://www.youtube.com/watch?v=3CV1efZSHmQ,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C03_Black_Hat/V0022.txt,2026,2283,local_asr_whisper,0,,0,,3,Initial_Access,Windows,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
V0023,C03,Black Hat,Black Hat USA 2025 | Breaking Out of The AI Cage: Pwning AI Providers with NVIDIA Vulnerabilities,https://www.youtube.com/watch?v=5RH0StmV7Eo,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C03_Black_Hat/V0023.txt,2026,2181,local_asr_whisper,0,,0,,68,Initial_Access,Linux,62,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
V0024,C03,Black Hat,Black Hat USA 2025 | Autonomous Timeline Analysis and Threat Hunting: An AI Agent for Timesketch,https://www.youtube.com/watch?v=9EA7kz4bGvQ,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C03_Black_Hat/V0024.txt,2026,2221,local_asr_whisper,1,Qilin,0,,4,Initial_Access,Windows,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3
V0025,C03,Black Hat,Black Hat USA 2025 | AI Enterprise Compromise - 0click Exploit Methods,https://www.youtube.com/watch?v=M_BDq2hTJxU,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C03_Black_Hat/V0025.txt,2026,2425,local_asr_whisper,1,Play,0,,8,Exfiltration,,2,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
V0026,C03,Black Hat,Black Hat USA 2025 | Vaulted Severance: Your Secrets Are Now Outies,https://www.youtube.com/watch?v=KC-8DhS8x5Q,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C03_Black_Hat/V0026.txt,2026,1787,local_asr_whisper,0,,0,,18,Initial_Access,Linux,7,5,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,2,0
V0027,C03,Black Hat,Black Hat USA 2025 | A Fireside Chat with Cognitive Scientist and AI Expert Gary Marcus,https://www.youtube.com/watch?v=e69OE0ZjskA,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C03_Black_Hat/V0027.txt,2026,2318,local_asr_whisper,1,Play,0,,2,Initial_Access,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0028,C03,Black Hat,Black Hat USA 2025 | Hacking the Status Quo: Tales From Leading Women in Cybersecurity,https://www.youtube.com/watch?v=8V4i8TW1YXU,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C03_Black_Hat/V0028.txt,2026,2423,local_asr_whisper,0,,0,,10,Initial_Access,,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0029,C03,Black Hat,Black Hat USA 2025 | Exploiting DNS for Stealthy User Tracking,https://www.youtube.com/watch?v=xQy1YcLK1Ak,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C03_Black_Hat/V0029.txt,2026,1680,local_asr_whisper,2,"Play, Qilin",0,,3,Impact,Windows,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0
V0030,C03,Black Hat,Black Hat USA 2025 | From Prompts to Pwns: Exploiting and Securing AI Agents,https://www.youtube.com/watch?v=zipgr080EQU,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C03_Black_Hat/V0030.txt,2026,2379,local_asr_whisper,1,Qilin,0,,26,Execution,Windows,6,8,0,2,0,0,2,4,4,0,0,0,0,0,0,0,0,0,2,1,0
V0031,C04,DEF CON Conference,DEF CON 33 - DisguiseDelimit: Exploiting Synology NAS with Delimiters and Novel Tricks - Ryan Emmon,https://www.youtube.com/watch?v=3F5icGjDWfg,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C04_DEF_CON_Conference/V0031.txt,2026,2379,local_asr_whisper,1,Play,0,,72,Initial_Access,Linux,34,23,0,2,0,0,2,1,0,10,0,0,0,0,0,0,0,0,0,27,0
V0032,C04,DEF CON Conference,DEF CON 33 - Browser Extension Clickjacking: One Click and Your Credit Card Is Stolen  - Marek Tóth,https://www.youtube.com/watch?v=Gu4IoDXNqoU,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C04_DEF_CON_Conference/V0032.txt,2026,3010,local_asr_whisper,0,,0,,38,Initial_Access,,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0033,C04,DEF CON Conference,DEF CON 33  - Can't Stop the ROP: Automating Universal ASLR Bypasses - Bramwell Brizendine,https://www.youtube.com/watch?v=NrTNNi9PP5Y,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C04_DEF_CON_Conference/V0033.txt,2026,2565,local_asr_whisper,0,,0,,21,Initial_Access,Windows,15,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,15,0,0
V0034,C04,DEF CON Conference,DEF CON 33 Recon Village - OSINT & Modern Recon Uncover Global VPN Infrastructure - Vladimir Tokarev,https://www.youtube.com/watch?v=4HGFlZZfWc8,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C04_DEF_CON_Conference/V0034.txt,2025,2393,local_asr_whisper,0,,0,,45,Initial_Access,Windows,19,7,6,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,19,3,0
V0035,C04,DEF CON Conference,DEF CON 33 - Voting Village - Is E2E Verifiability a Magic Bullet for Online Voting - John Odum,https://www.youtube.com/watch?v=gMvNKsl65NA,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C04_DEF_CON_Conference/V0035.txt,2025,1655,local_asr_whisper,1,Play,0,,2,Initial_Access,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0036,C04,DEF CON Conference,"DEF CON 33 Voting Village - Dominion ICX Simple Hacks Daunting Recoveries - Springall, Davis, Marks",https://www.youtube.com/watch?v=gRU0-z1of2Y,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C04_DEF_CON_Conference/V0036.txt,2025,2766,local_asr_whisper,1,Play,0,,16,Impact,,2,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0
V0037,C04,DEF CON Conference,"DEF CON 33 - Voting Village - ""Fortress Island"" Physical Security in Voting Systems - Drew Springall",https://www.youtube.com/watch?v=yvbe6n82f0I,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C04_DEF_CON_Conference/V0037.txt,2025,2012,local_asr_whisper,1,Play,0,,1,Discovery,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0038,C04,DEF CON Conference,DEF CON 33 - Voting Village - A Review of Post Election Audits in Swing States - Susan Greenhalgh,https://www.youtube.com/watch?v=5mWnGZWUEMQ,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C04_DEF_CON_Conference/V0038.txt,2025,1710,local_asr_whisper,1,Play,0,,3,Initial_Access,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0039,C04,DEF CON Conference,DEF CON 33 -Voting Village - Protecting Election Researchers Globally - Miracle Owolabi,https://www.youtube.com/watch?v=5qmpv44knF8,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C04_DEF_CON_Conference/V0039.txt,2025,892,local_asr_whisper,1,Play,0,,12,Initial_Access,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0040,C04,DEF CON Conference,"DEF CON 33 - Voting Village - When Insiders Are the Threat - Burbank, Greenhalgh, Marks, Jefferson",https://www.youtube.com/watch?v=OyUNja7QSv8,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C04_DEF_CON_Conference/V0040.txt,2025,3478,local_asr_whisper,1,Play,0,,16,Initial_Access,,11,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
V0041,C05,CrowdStrike,"Speed, Stealth, and AI: The CrowdStrike 2026 Global Threat Report",https://www.youtube.com/watch?v=gIeau0bhhMI,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C05_CrowdStrike/V0041.txt,2026,1996,local_asr_whisper,3,"Akira, LockBit, Play",0,,18,Initial_Access,Windows,11,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0
V0042,C05,CrowdStrike,"Interview with a Threat Hunter: Brody Nisbet, Sr. Director of CrowdStrike OverWatch",https://www.youtube.com/watch?v=8U3AujVy1Jg,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C05_CrowdStrike/V0042.txt,2026,2390,local_asr_whisper,0,,1,TeamViewer,9,Initial_Access,Windows,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
V0043,C05,CrowdStrike,Detect OPERATOR PANDA at the Edge with Falcon Adversary Overwatch,https://www.youtube.com/watch?v=vvdR23zxL0E,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C05_CrowdStrike/V0043.txt,2026,321,local_asr_whisper,0,,0,,14,Initial_Access,,9,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0044,C05,CrowdStrike,LABYRINTH CHOLLIMA Evolves into Three Adversaries,https://www.youtube.com/watch?v=aHQzT0eJ7C0,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C05_CrowdStrike/V0044.txt,2026,1927,local_asr_whisper,1,Play,0,,9,Command_and_Control,,2,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0
V0045,C05,CrowdStrike,Under The Light: Operationalizing CTEM with Falcon Exposure Management,https://www.youtube.com/watch?v=MFRxNItZZP4,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C05_CrowdStrike/V0045.txt,2026,377,local_asr_whisper,0,,0,,10,Discovery,,4,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0046,C05,CrowdStrike,"Taking Down Cybercriminals with Shawn Henry, Former FBI Leader",https://www.youtube.com/watch?v=YXLpTzzvi1Q,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C05_CrowdStrike/V0046.txt,2026,2927,local_asr_whisper,0,,0,,6,Command_and_Control,,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
V0047,C05,CrowdStrike,2025 Wrapped: Updates on This Year’s Hottest Topics,https://www.youtube.com/watch?v=lRSGQV8Clgw,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C05_CrowdStrike/V0047.txt,2025,2172,local_asr_whisper,2,"Play, Royal",0,,17,Initial_Access,ESXi,13,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,6
V0048,C05,CrowdStrike,Is This Endgame? How Takedowns Are Reshaping eCrime,https://www.youtube.com/watch?v=3iNHYERZAvg,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C05_CrowdStrike/V0048.txt,2025,2145,local_asr_whisper,3,"Conti, LockBit, Play",0,,3,Impact,,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
V0049,C05,CrowdStrike,CrowdStrike Leads the Way in the 2025 MITRE ATT&CK Enterprise Evaluations,https://www.youtube.com/watch?v=MnZcvFn9VxQ,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C05_CrowdStrike/V0049.txt,2025,355,local_asr_whisper,0,,0,,9,Initial_Access,Windows,2,0,1,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0
V0050,C05,CrowdStrike,Driving Ambition III: Tackling The Mighty Yas Marina F1 Circuit,https://www.youtube.com/watch?v=OZHfMlX5HQc,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C05_CrowdStrike/V0050.txt,2025,784,local_asr_whisper,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0051,C06,Mandiant (Google Cloud Security),"EP22 Jailbreaking, Prompt Injection, and the ""Agentic"" Flaw in MCP with Kevin Harris",https://www.youtube.com/watch?v=xSuxDQ0ZQe4,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C06_Mandiant_Google_Cloud_Security/V0051.txt,2026,3448,local_asr_whisper,1,Play,0,,1,Initial_Access,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
